TABLE_NAME,COLUMN_NAME,DATA_TYPE,DATA_PRECISION,DATA_SCALE,HCAT_TYPE
AASYSJUR,JUR,VARCHAR2,NA,NA,string
AASYSJUR,DEFAULT_JUR,VARCHAR2,NA,NA,string
AASYSJUR,JUR_LABEL,VARCHAR2,NA,NA,string
AASYSJUR,DISPLAY_JUR,VARCHAR2,NA,NA,string
AASYSJUR,EXAUTO_CASE,VARCHAR2,NA,NA,string
AASYSJUR,THISYEAR,NUMBER,4,0,bigint
AASYSJUR,DUPYR,NUMBER,4,0,bigint
AASYSJUR,PPYEAR,NUMBER,4,0,bigint
AASYSJUR,MIN_TAXYR,NUMBER,4,0,bigint
AASYSJUR,MAX_TAXYR,NUMBER,4,0,bigint
AASYSJUR,SHOW_HIDDEN,VARCHAR2,NA,NA,string
AASYSJUR,AAPSWD,VARCHAR2,NA,NA,string
AASYSJUR,BASE_VER,VARCHAR2,NA,NA,string
AASYSJUR,DEF_CLASS,VARCHAR2,NA,NA,string
AASYSJUR,IE_ROLLTYPE,VARCHAR2,NA,NA,string
AASYSJUR,COMNT_INC,NUMBER,10,2,double
AASYSJUR,LEGADD_INC,NUMBER,10,2,double
AASYSJUR,EXREMOVE,VARCHAR2,NA,NA,string
AASYSJUR,TAXDIST_REQ,VARCHAR2,NA,NA,string
AASYSJUR,CAMA_ROLLTYPE,VARCHAR2,NA,NA,string
AASYSJUR,COUNTRY_CODE,VARCHAR2,NA,NA,string
AASYSJUR,DISP_OWNER,VARCHAR2,NA,NA,string
AASYSJUR,NATRSRC,VARCHAR2,NA,NA,string
AASYSJUR,LATEST_OWNER,VARCHAR2,NA,NA,string
AASYSJUR,SEAM_IND,VARCHAR2,NA,NA,string
AASYSJUR,ASMTOWN_IND,VARCHAR2,NA,NA,string
AASYSJUR,MAILDAT_IND,VARCHAR2,NA,NA,string
AASYSJUR,EDMS_IND,VARCHAR2,NA,NA,string
AASYSJUR,CB_IND,VARCHAR2,NA,NA,string
AASYSJUR,LD_JUR_IND,VARCHAR2,NA,NA,string
AASYSJUR,LD_PARID_IND,VARCHAR2,NA,NA,string
AASYSJUR,LD_TAXYR_IND,VARCHAR2,NA,NA,string
AASYSJUR,LD_CARD_IND,VARCHAR2,NA,NA,string
AASYSJUR,SS_EXT_DATE,DATE,NA,NA,string
AASYSJUR,PW_EXPIRE_DAYS,NUMBER,3,0,bigint
AASYSJUR,COUNTYCD,VARCHAR2,NA,NA,string
AASYSJUR,APRVALSUM_IND,VARCHAR2,NA,NA,string
AASYSJUR,IASW_ID,NUMBER,NA,NA,bigint
AASYSJUR,WHO,VARCHAR2,NA,NA,string
AASYSJUR,WEN,DATE,NA,NA,string
ADDN,JUR,VARCHAR2,NA,NA,string
ADDN,PARID,VARCHAR2,NA,NA,string
ADDN,CARD,NUMBER,4,0,bigint
ADDN,TAXYR,NUMBER,4,0,bigint
ADDN,LLINE,NUMBER,4,0,bigint
ADDN,SEQ,NUMBER,3,0,bigint
ADDN,CUR,VARCHAR2,NA,NA,string
ADDN,WHO,VARCHAR2,NA,NA,string
ADDN,WEN,DATE,NA,NA,string
ADDN,WHOCALC,VARCHAR2,NA,NA,string
ADDN,WENCALC,DATE,NA,NA,string
ADDN,STATUS,VARCHAR2,NA,NA,string
ADDN,LOWER,VARCHAR2,NA,NA,string
ADDN,FIRST,VARCHAR2,NA,NA,string
ADDN,SECOND,VARCHAR2,NA,NA,string
ADDN,THIRD,VARCHAR2,NA,NA,string
ADDN,AREA,NUMBER,9,0,bigint
ADDN,VECT,VARCHAR2,NA,NA,string
ADDN,VALUE,NUMBER,10,0,bigint
ADDN,CLASS,VARCHAR2,NA,NA,string
ADDN,PCTCOMP,NUMBER,3,0,bigint
ADDN,NEWCONMO,VARCHAR2,NA,NA,string
ADDN,NEWCONPCT,NUMBER,7,6,double
ADDN,YRBLT,NUMBER,4,0,bigint
ADDN,EFFYR,NUMBER,4,0,bigint
ADDN,GRADE,VARCHAR2,NA,NA,string
ADDN,GRDFACT,NUMBER,3,2,double
ADDN,CDU,VARCHAR2,NA,NA,string
ADDN,DEPR,NUMBER,5,2,double
ADDN,MKTADJ,NUMBER,5,2,double
ADDN,RCNLD,NUMBER,10,0,bigint
ADDN,RECTYPE,VARCHAR2,NA,NA,string
ADDN,AREASUM,NUMBER,10,0,bigint
ADDN,EXMPPCT,NUMBER,5,2,double
ADDN,EXMPVAL,NUMBER,10,0,bigint
ADDN,RATEL,NUMBER,NA,NA,bigint
ADDN,RATE1,NUMBER,NA,NA,bigint
ADDN,RATE2,NUMBER,NA,NA,bigint
ADDN,RATE3,NUMBER,NA,NA,bigint
ADDN,GRDFACTL,NUMBER,3,2,double
ADDN,GRDFACT1,NUMBER,3,2,double
ADDN,GRDFACT2,NUMBER,3,2,double
ADDN,GRDFACT3,NUMBER,3,2,double
ADDN,RCNL,NUMBER,10,0,bigint
ADDN,RCN1,NUMBER,10,0,bigint
ADDN,RCN2,NUMBER,10,0,bigint
ADDN,RCN3,NUMBER,10,0,bigint
ADDN,RCNLDL,NUMBER,10,0,bigint
ADDN,RCNLD1,NUMBER,10,0,bigint
ADDN,RCNLD2,NUMBER,10,0,bigint
ADDN,RCNLD3,NUMBER,10,0,bigint
ADDN,CONVADDN,NUMBER,10,0,bigint
ADDN,CHGRSN,VARCHAR2,NA,NA,string
ADDN,DEACTIVAT,DATE,NA,NA,string
ADDN,SALEKEY,NUMBER,8,0,bigint
ADDN,IASW_ID,NUMBER,NA,NA,bigint
ADDN,TRANS_ID,NUMBER,10,0,bigint
ADDN,UPD_STATUS,VARCHAR2,NA,NA,string
ADDN,PRODATE,DATE,NA,NA,string
ADDN,PROTYPE,VARCHAR2,NA,NA,string
ADDN,PRODAMAGE,NUMBER,3,0,bigint
ADDN,PROFACT,NUMBER,4,3,double
ADDN,VECTNOTES,VARCHAR2,NA,NA,string
ADDN,AREAID,NUMBER,NA,NA,bigint
ADDN,NCCALC,NUMBER,NA,NA,bigint
ADDN,NCOVAL,NUMBER,NA,NA,bigint
ADDN,NCVAL,NUMBER,NA,NA,bigint
ADDN,NCTOT,NUMBER,NA,NA,bigint
ADDN,USER1,VARCHAR2,NA,NA,string
ADDN,USER2,VARCHAR2,NA,NA,string
ADDN,USER3,VARCHAR2,NA,NA,string
ADDN,USER4,VARCHAR2,NA,NA,string
ADDN,USER5,VARCHAR2,NA,NA,string
ADDN,USERVAL1,NUMBER,NA,NA,bigint
ADDN,USERVAL2,NUMBER,NA,NA,bigint
ADDN,USERVAL3,NUMBER,NA,NA,bigint
ADDN,USERVAL4,NUMBER,NA,NA,bigint
ADDN,USERVAL5,NUMBER,NA,NA,bigint
ADDN,AREA_SQM,NUMBER,11,3,double
ADDRINDX,JUR,VARCHAR2,NA,NA,string
ADDRINDX,PARID,VARCHAR2,NA,NA,string
ADDRINDX,CARD,NUMBER,4,0,bigint
ADDRINDX,TAXYR,NUMBER,4,0,bigint
ADDRINDX,LLINE,NUMBER,4,0,bigint
ADDRINDX,TBLE,VARCHAR2,NA,NA,string
ADDRINDX,TABSEQ,NUMBER,3,0,bigint
ADDRINDX,SEQ,NUMBER,3,0,bigint
ADDRINDX,CUR,VARCHAR2,NA,NA,string
ADDRINDX,WHO,VARCHAR2,NA,NA,string
ADDRINDX,WEN,DATE,NA,NA,string
ADDRINDX,ADRPRE,VARCHAR2,NA,NA,string
